car,varient,km,fuel,transmission,registration,price,location
2017 Honda Amaze, 1.2L I-VTEC S,"58,372 km",CNG,Manual,DL-1C,₹3.41 lakh,noida
2018 Hyundai Elite i20, ASTA 1.2,"88,615 km",Petrol,Manual,DL-5C,₹4.09 lakh,noida
2015 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"23,670 km",Petrol,Manual,DL-1C,₹2.65 lakh,noida
2016 Hyundai Eon, ERA +,"53,770 km",Petrol,Manual,HR-26,₹1.71 lakh,noida
2018 Honda Amaze, 1.2L I-VTEC S OPT,"47,377 km",Petrol,Manual,DL-10,₹3.19 lakh,noida
2018 Maruti Wagon R 1.0, VXI AMT,"22,191 km",Petrol,Auto,DL-1C,₹2.75 lakh,noida
2019 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"64,056 km",Petrol,Manual,DL-2C,₹3.36 lakh,noida
2017 Maruti Wagon R 1.0, LXI CNG,"69,356 km",CNG,Manual,DL-6C,₹2.92 lakh,noida
2020 KIA SONET, GTX PLUS 1.5,"48,391 km",Diesel,Manual,DL-3C,₹8.20 lakh,noida
2017 Hyundai Elite i20, SPORTZ 1.2,"60,451 km",Petrol,Manual,HR-26,₹3.72 lakh,noida
2020 Ford Ecosport, TITANIUM 1.5L PETROL,"63,293 km",Petrol,Manual,DL-12,₹5.81 lakh,noida
2014 Nissan Micra Active, XL,"48,096 km",Petrol,Manual,DL-1C,₹1.37 lakh,noida
2018 Hyundai Grand i10, MAGNA 1.2 KAPPA VTVT,"36,806 km",Petrol,Manual,DL-3C,₹3.18 lakh,noida
2022 Maruti S Cross, SIGMA 1.5,"69,882 km",Petrol,Manual,HR-51,₹5.71 lakh,noida
2020 Maruti New Wagon-R, ZXI 1.2 AMT,"48,779 km",Petrol,Auto,DL-5C,₹3.92 lakh,noida
2020 KIA SONET, GTX PLUS 1.0 DCT,"29,298 km",Petrol,Auto,HR-26,₹7.89 lakh,noida
