car,varient,km,fuel,transmission,registration,price,location
2021 Mahindra Thar, LX D 4*4 MT HT,"25,772 km",Diesel,Manual,DL-7C,₹9.40 lakh,new-delhi
2017 Hyundai Verna, 1.6 VTVT SX,"51,750 km",Petrol,Manual,DL-5C,₹4.93 lakh,new-delhi
2022 Volkswagen VIRTUS, COMFORTLINE TSI 1.0 MT,"47,478 km",Petrol,Manual,DL-7C,₹6.91 lakh,new-delhi
2023 Mahindra Bolero, B6,"29,109 km",Diesel,Manual,DL-3C,₹6.83 lakh,new-delhi
2019 Datsun Redi Go, A,"28,989 km",Petrol,Manual,DL-9C,₹1.61 lakh,new-delhi
2019 Maruti Swift, LXI,"31,645 km",Petrol,Manual,DL-9C,₹3.88 lakh,new-delhi
2024 Maruti Grand Vitara, SIGMA SMART HYBRID,"29,719 km",Petrol,Manual,DL-3C,₹9.10 lakh,new-delhi
2021 Nissan MAGNITE, XL,"33,742 km",Petrol,Manual,DL-7C,₹4.35 lakh,new-delhi
2019 Hyundai Elite i20, MAGNA PLUS 1.2,"49,766 km",Petrol,Manual,DL-10,₹4.36 lakh,new-delhi
2021 Hyundai NEW I20, SPORTZ 1.2 MT,"40,009 km",Petrol,Manual,DL-12,₹5.19 lakh,new-delhi
2023 Hyundai VENUE, S 1.2,"30,571 km",Petrol,Manual,DL-3C,₹6.75 lakh,new-delhi
2019 MG HECTOR, SMART HYBRID 1.5 PETROL,"59,391 km",Petrol,Manual,DL-3C,₹8.13 lakh,new-delhi
2016 Renault Kwid, RXT 0.8,"51,969 km",Petrol,Manual,DL-8C,₹1.60 lakh,new-delhi
2023 Hyundai GRAND I10 NIOS, SPORTZ 1.2 KAPPA VTVT,"31,918 km",CNG,Manual,DL-5C,₹5.65 lakh,new-delhi
2016 Ford Ecosport, TITANIUM 1.5L PETROL,"63,038 km",Petrol,Manual,DL-9C,₹4.00 lakh,new-delhi
2016 Hyundai Creta, SX PLUS 1.6 PETROL,"60,380 km",Petrol,Manual,DL-10,₹4.14 lakh,new-delhi
2024 Maruti Swift, VXI,"14,906 km",Petrol,Manual,DL-4C,₹5.77 lakh,new-delhi
2019 Tata NEXON, XM PETROL,"77,136 km",CNG,Manual,DL-8C,₹4.64 lakh,new-delhi
2022 Skoda Octavia, STYLE 2.0,"43,596 km",Petrol,Auto,DL-1C,₹18.24 lakh,new-delhi
2023 Maruti Alto, LXI O,"23,353 km",Petrol,Manual,DL-9C,₹2.96 lakh,new-delhi
2019 Maruti Celerio, VXI (O) CNG,"85,350 km",CNG,Manual,HR-26,₹3.29 lakh,new-delhi
2019 Maruti New Wagon-R, VXI (O) 1.2,"74,374 km",Petrol,Manual,HR-26,₹3.24 lakh,new-delhi
2022 Hyundai NEW SANTRO, SPORTZ EXECUTIVE MT CNG,"91,678 km",CNG,Manual,HR-36,₹3.82 lakh,new-delhi
2024 Maruti Ertiga,   VXI (O) CNG,"18,586 km",CNG,Manual,HR-14,₹9.39 lakh,new-delhi
2018 Datsun Go, REMIX EDITION,"1,00,023 km",Petrol,Manual,DL-3C,₹1.55 lakh,new-delhi
2024 Maruti Swift, VXi,"42,012 km",Petrol,Manual,HR-19,₹5.54 lakh,new-delhi
2023 Tata PUNCH, PURE MT CNG,"35,762 km",CNG,Manual,HR-26,₹5.80 lakh,new-delhi
2019 Honda Civic, 1.8L I-VTEC ZX CVT,"91,157 km",Petrol,Auto,DL-14,₹9.69 lakh,new-delhi
2023 Maruti Baleno, SIGMA PETROL 1.2,"47,454 km",Petrol,Manual,HR-98,₹4.80 lakh,new-delhi
2022 MG HECTOR, SHARP 1.5 PETROL CVT,"41,170 km",Petrol,Auto,HR-72,₹11.93 lakh,new-delhi
2023 Tata PUNCH, ADVENTURE MT,"46,004 km",Petrol,Manual,UP-14,₹4.84 lakh,new-delhi
2018 Hyundai Verna, 1.4 E PETROL,"24,938 km",Petrol,Manual,DL-5C,₹5.12 lakh,new-delhi
2020 Volkswagen Polo, TRENDLINE 1.0L,"33,751 km",Petrol,Manual,DL-8C,₹3.86 lakh,new-delhi
2017 Datsun Redi Go, D,"8,468 km",Petrol,Manual,UP-16,₹1.34 lakh,new-delhi
2020 MG HECTOR, SHARP 1.5 DCT PETROL,"48,771 km",Petrol,Auto,HR-98,₹10.70 lakh,new-delhi
2019 Mahindra Scorpio, S7,"35,267 km",Diesel,Manual,HR-51,₹8.97 lakh,new-delhi
2017 Renault Kwid, RXL,"75,770 km",Petrol,Manual,HR-50,₹1.65 lakh,new-delhi
2015 Maruti Baleno, SIGMA PETROL 1.2,"53,068 km",Petrol,Manual,UP-14,₹2.58 lakh,new-delhi
2016 Maruti Alto 800, LXI,"55,869 km",Petrol,Manual,HR-95,₹1.48 lakh,new-delhi
2018 Tata NEXON, XE PETROL,"72,470 km",Petrol,Manual,DL-11,₹3.37 lakh,new-delhi
2021 Renault Kiger, RXZ MT DUAL TONE,"49,896 km",Petrol,Manual,HR-12,₹3.58 lakh,new-delhi
2021 Hyundai VENUE, S 1.2,"17,438 km",Petrol,Manual,DL-8C,₹5.32 lakh,new-delhi
2022 Skoda SLAVIA, AMBITION 1.0L TSI AT,"36,805 km",Petrol,Auto,DL-3C,₹8.51 lakh,new-delhi
2021 Hyundai Verna, SX 1.5 VTVT,"37,722 km",Petrol,Manual,UP-78,₹7.80 lakh,new-delhi
2022 Mahindra XUV700, AX 5 P MT 7 STR,"33,015 km",Petrol,Manual,HR-26,₹12.80 lakh,new-delhi
2024 Maruti Swift, VXI,"26,435 km",Petrol,Manual,HR-20,₹5.58 lakh,new-delhi
2022 Nissan MAGNITE, XV RED EDITION,"66,035 km",Petrol,Manual,HR-36,₹4.49 lakh,new-delhi
2017 Maruti Alto 800, LXI,"29,611 km",Petrol,Manual,HR-52,₹1.81 lakh,new-delhi
2018 Maruti Alto 800, LXI,"48,820 km",Petrol,Manual,UP-16,₹2.13 lakh,new-delhi
2021 Nissan MAGNITE, XL,"43,428 km",Petrol,Manual,HR-12,₹4.27 lakh,new-delhi
2019 Honda Civic, 1.8L I-VTEC VX CVT,"70,935 km",Petrol,Auto,HR-26,₹9.90 lakh,new-delhi
2019 Honda Amaze, 1.2L I-VTEC S,"26,001 km",Petrol,Manual,HR-72,₹3.84 lakh,new-delhi
2023 Skoda Kodiaq, L&K,"60,781 km",Petrol,Auto,HR-51,₹27.00 lakh,new-delhi
2018 Honda City, 1.5L I-VTEC V MT,"25,484 km",Petrol,Manual,DL-14,₹5.37 lakh,new-delhi
2019 Tata Tiago, XT PETROL,"85,935 km",Petrol,Manual,HR-31,₹2.70 lakh,new-delhi
2021 Maruti Vitara Brezza, ZXI PLUS DUAL TONE,"82,149 km",Petrol,Manual,UP-16,₹6.04 lakh,new-delhi
2023 Maruti Alto K10, LXI,"44,139 km",Petrol,Manual,UP-14,₹2.89 lakh,new-delhi
2016 Toyota Corolla Altis, VL CVT PETROL,"90,628 km",Petrol,Auto,HR-51,₹5.61 lakh,new-delhi
2016 Maruti Baleno, ZETA PETROL 1.2,"95,828 km",Petrol,Manual,DL-1C,₹3.53 lakh,new-delhi
2023 Nissan MAGNITE, XE,"60,570 km",Petrol,Manual,HR-12,₹4.00 lakh,new-delhi
2018 Maruti Swift, VXI,"64,451 km",Petrol,Manual,HR-54,₹3.61 lakh,new-delhi
2021 Renault TRIBER, RXT,"73,382 km",Petrol,Manual,HR-36,₹3.36 lakh,new-delhi
2018 Honda City, 1.5L I-VTEC V MT,"48,398 km",Petrol,Manual,HR-26,₹4.69 lakh,new-delhi
2019 Hyundai Creta, E PLUS 1.6 PETROL,"49,271 km",Petrol,Manual,UP-32,₹5.07 lakh,new-delhi
2020 Hyundai Elite i20, MAGNA PLUS 1.2,"27,711 km",Petrol,Manual,HR-22,₹4.10 lakh,new-delhi
2019 Hyundai NEW SANTRO, SPORTZ AMT,"62,884 km",Petrol,Auto,UP-16,₹2.99 lakh,new-delhi
2020 KIA SELTOS, HTK 1.5 PETROL,"69,741 km",Petrol,Manual,UP-16,₹6.56 lakh,new-delhi
2017 Datsun Redi Go, T(O) 1.0,"34,713 km",Petrol,Manual,HR-87,₹1.68 lakh,new-delhi
2023 Tata Tiago, XT (O) PETROL,"33,567 km",Petrol,Manual,HR-06,₹3.63 lakh,new-delhi
2021 Hyundai VENUE, S 1.2,"53,312 km",Petrol,Manual,UP-14,₹5.44 lakh,new-delhi
2018 Jeep Compass, LIMITED 1.4 PETROL AT,"51,731 km",Petrol,Auto,HR-13,₹6.92 lakh,new-delhi
2023 KIA SELTOS,  GTX Plus 1.5 Turbo Petrol DCT,"44,467 km",Petrol,Auto,UP-16,₹13.95 lakh,new-delhi
2020 Datsun Redi Go, T,"25,838 km",Petrol,Manual,HR-26,₹1.99 lakh,new-delhi
2019 Hyundai Verna, 1.6 VTVT SX + AT,"51,996 km",Petrol,Auto,HR-51,₹7.12 lakh,new-delhi
2016 Renault Kwid, RXT 1.0,"54,982 km",Petrol,Manual,DL-8C,₹1.58 lakh,new-delhi
2023 Mahindra XUV700, AX 5 D MT 7 STR,"52,319 km",Diesel,Manual,HR-26,₹14.70 lakh,new-delhi
2022 Tata ALTROZ, XE PETROL,"45,910 km",Petrol,Manual,HR-72,₹3.97 lakh,new-delhi
2022 Nissan MAGNITE, XV MT,"47,499 km",Petrol,Manual,UP-14,₹4.69 lakh,new-delhi
2019 Hyundai VENUE, S 1.0 TURBO MT,"51,715 km",Petrol,Manual,DL-11,₹4.14 lakh,new-delhi
2016 Maruti Swift, LXI (O),"58,243 km",Petrol,Manual,DL-3C,₹2.48 lakh,new-delhi
2020 Renault TRIBER, RXZ,"39,612 km",Petrol,Manual,HR-26,₹3.28 lakh,new-delhi
2021 KIA CARNIVAL, PREMIUM 2.2 7 STR,"79,895 km",Diesel,Auto,HR-87,₹19.00 lakh,new-delhi
2023 Renault Kiger, RXT (O) MT,"23,310 km",Petrol,Manual,DL-12,₹4.70 lakh,new-delhi
2022 Tata PUNCH, CREATIVE  AMT,"45,325 km",Petrol,Auto,DL-7C,₹5.02 lakh,new-delhi
2021 KIA SELTOS, HTE 1.5 DIESEL,"60,187 km",Diesel,Manual,DL-8C,₹7.05 lakh,new-delhi
2019 Maruti Alto 800, LXI,"45,382 km",CNG,Manual,HR-26,₹2.45 lakh,new-delhi
2019 Tata NEXON, XT PLUS PETROL,"41,306 km",Petrol,Manual,UP-14,₹4.45 lakh,new-delhi
2015 Renault Duster, RXL PETROL,"51,800 km",Petrol,Manual,UP-81,₹2.33 lakh,new-delhi
2017 Ford Figo Aspire, TITANIUM 1.2 PETROL,"58,060 km",Petrol,Manual,HR-26,₹3.09 lakh,new-delhi
2022 Tata Harrier, XM 2.0L KRYOTEC,"38,989 km",Diesel,Manual,HR-51,₹9.29 lakh,new-delhi
2016 Ford Ecosport, AMBIENTE 1.5L PETROL,"50,410 km",Petrol,Manual,DL-12,₹2.83 lakh,new-delhi
2021 Hyundai VENUE, S 1.0 TURBO IMT,"72,545 km",Petrol,Manual,HR-26,₹6.38 lakh,new-delhi
2023 Maruti S PRESSO, VXI+,"65,750 km",Petrol,Manual,UP-25,₹3.09 lakh,new-delhi
2024 Mahindra Thar, LX D HT 2WD MT,"36,893 km",Diesel,Manual,HR-70,₹11.50 lakh,new-delhi
2019 Ford Endeavour, TITANIUM PLUS 2.2 4X2 AT SUNROOF,"38,550 km",Diesel,Auto,HR-26,₹23.50 lakh,new-delhi
2018 Volkswagen Polo, TRENDLINE 1.2L PETROL,"70,837 km",Petrol,Manual,DL-12,₹3.26 lakh,new-delhi
2018 Toyota YARIS, J MT,"32,291 km",Petrol,Manual,UP-16,₹4.50 lakh,new-delhi
2025 Maruti Alto K10, LXi(O),"6,308 km",Petrol,Manual,HR-29,₹3.52 lakh,new-delhi
2021 KIA SELTOS, GTX PLUS DCT 1.4 PETROL,"42,525 km",Petrol,Auto,HR-51,₹10.17 lakh,new-delhi
2024 Mahindra XUV 3XO, MX3 1.5 Turbo Diesel Autoshift Plus,"14,747 km",Diesel,Auto,HR-26,₹8.81 lakh,new-delhi
2020 KIA SELTOS, HTK PLUS 1.5,"71,471 km",Petrol,Manual,HR-26,₹6.71 lakh,new-delhi
2020 Tata NEXON, XM PETROL,"27,363 km",Petrol,Manual,DL-11,₹4.70 lakh,new-delhi
2015 Maruti Alto K10, VXI,"77,292 km",Petrol,Manual,HR-12,₹1.52 lakh,new-delhi
2018 Maruti Wagon R 1.0, VXI,"57,338 km",Petrol,Manual,HR-51,₹2.31 lakh,new-delhi
2022 Tata Safari, XT,"66,510 km",Diesel,Manual,UP-14,₹10.64 lakh,new-delhi
2018 Honda Amaze, 1.2L I-VTEC S OPT,"62,085 km",Petrol,Manual,HR-51,₹3.91 lakh,new-delhi
2022 Tata PUNCH, ACCOMPLISHED MT,"40,265 km",Petrol,Manual,HR-29,₹4.79 lakh,new-delhi
2019 BMW 3 Series,  GT 320d Luxury Line,"69,884 km",Diesel,Auto,HP-14,₹23.50 lakh,new-delhi
2020 Datsun Go, T(O),"70,667 km",Petrol,Manual,HR-08,₹2.67 lakh,new-delhi
2023 Maruti Baleno, ALPHA PETROL 1.2,"38,883 km",Petrol,Manual,UP-14,₹6.36 lakh,new-delhi
2023 Toyota Fortuner, 4X4 AT 2.8 DIESEL,"83,352 km",Diesel,Auto,UP-16,₹32.69 lakh,new-delhi
2018 Ford FREESTYLE, TREND PLUS 1.2 PETROL,"69,793 km",Petrol,Manual,UP-14,₹2.82 lakh,new-delhi
2022 Hyundai Creta, SX 1.5 PETROL,"85,647 km",Petrol,Manual,HR-26,₹8.56 lakh,new-delhi
2021 Honda WR-V, 1.5L I-DTEC SV MT,"68,250 km",Diesel,Manual,HR-19,₹5.51 lakh,new-delhi
2018 Hyundai Grand i10, SPORTZ (O) 1.2 KAPPA VTVT,"45,670 km",Petrol,Manual,HR-51,₹2.88 lakh,new-delhi
2022 Tata ALTROZ, XZ PETROL,"33,014 km",Petrol,Manual,UP-14,₹4.97 lakh,new-delhi
2023 Tata TIGOR, XE PETROL,"42,455 km",Petrol,Manual,HR-22,₹3.80 lakh,new-delhi
2019 Honda Amaze, 1.2L I-VTEC S,"73,310 km",Petrol,Manual,UP-16,₹3.84 lakh,new-delhi
2019 Honda Amaze, 1.2L I-VTEC E,"70,348 km",Petrol,Manual,UP-32,₹3.56 lakh,new-delhi
2021 KIA SONET, GTX PLUS 1.0 DCT,"45,633 km",Petrol,Auto,UP-16,₹7.69 lakh,new-delhi
2024 Tata PUNCH, ADVENTURE AMT,"7,959 km",Petrol,Auto,DL-7C,₹6.03 lakh,new-delhi
2018 Honda WR-V, 1.2L I-VTEC S MT,"91,592 km",Petrol,Manual,DL-9C,₹3.72 lakh,new-delhi
2022 Maruti Baleno, ZETA PETROL 1.2,"45,391 km",Petrol,Manual,HR-16,₹5.61 lakh,new-delhi
2019 Maruti Alto K10, VXI,"74,835 km",Petrol,Manual,UP-37,₹2.54 lakh,new-delhi
2018 Maruti Alto K10, VXI,"67,276 km",Petrol,Manual,HR-27,₹2.11 lakh,new-delhi
2022 Nissan MAGNITE, XL,"46,816 km",Petrol,Manual,UP-16,₹4.14 lakh,new-delhi
2020 Maruti Baleno, ZETA PETROL 1.2,"96,028 km",Petrol,Manual,HR-26,₹4.59 lakh,new-delhi
2019 Volkswagen Polo, HIGHLINE PLUS 1.0,"50,774 km",Petrol,Manual,DL-8C,₹4.98 lakh,new-delhi
2017 Hyundai Grand i10, SPORTZ (O) 1.2 KAPPA VTVT,"80,029 km",Petrol,Manual,UP-14,₹2.57 lakh,new-delhi
2017 Renault Kwid, RXL,"31,490 km",Petrol,Manual,DL-8C,₹2.14 lakh,new-delhi
2024 Toyota Urban Cruiser Taisor, G 1.0 Petrol MT,"9,537 km",Petrol,Manual,HR-98,₹8.57 lakh,new-delhi
2014 Toyota Etios, CROSS 1.2 G,"49,998 km",Petrol,Manual,DL-14,₹2.11 lakh,new-delhi
2022 Tata Tiago, XZ PLUS PETROL,"83,247 km",Petrol,Manual,HR-36,₹3.57 lakh,new-delhi
2022 Toyota URBAN CRUISER HYRYDER, V AT NEO DRIVE,"88,449 km",Petrol,Auto,UP-16,₹11.00 lakh,new-delhi
2014 Maruti Swift Dzire, VXI,"40,494 km",Petrol,Manual,DL-2C,₹1.95 lakh,new-delhi
2017 Volkswagen Polo, HIGHLINE1.2L,"73,806 km",Petrol,Manual,UP-32,₹3.71 lakh,new-delhi
2016 Toyota Corolla Altis, GL PETROL,"69,500 km",Petrol,Manual,DL-10,₹5.15 lakh,new-delhi
2012 Hyundai i10, MAGNA 1.2,"1,00,643 km",Petrol,Manual,DL-10,₹1.19 lakh,new-delhi
2020 Tata Harrier, XT PLUS 2.0L KRYOTEC DARK EDITON,"84,776 km",Diesel,Manual,HR-26,₹8.44 lakh,new-delhi
2019 Renault Kwid, RXL,"73,649 km",Petrol,Manual,UP-14,₹2.31 lakh,new-delhi
2020 Hyundai AURA, SX+ 1.0 TURBO GDI MT,"46,828 km",Petrol,Manual,UP-14,₹4.61 lakh,new-delhi
2016 Maruti Ciaz, ZXI,"99,587 km",Petrol,Manual,HR-26,₹3.18 lakh,new-delhi
2023 Hyundai Creta, S PLUS KNIGHT 1.5 PETROL,"37,215 km",Petrol,Manual,DL-9C,₹10.36 lakh,new-delhi
2021 Hyundai VENUE, S 1.2,"34,800 km",Petrol,Manual,HR-06,₹5.62 lakh,new-delhi
2019 Renault Duster, RXS PETROL,"66,234 km",Petrol,Manual,UP-14,₹4.62 lakh,new-delhi
2021 Maruti S PRESSO, LXI (O),"17,454 km",Petrol,Manual,HR-30,₹2.82 lakh,new-delhi
2020 Honda City, 1.5L I-VTEC VX CVT,"89,920 km",Petrol,Auto,UP-80,₹5.73 lakh,new-delhi
2018 Tata Tiago, XZ PETROL,"1,39,758 km",Petrol,Manual,HR-36,₹2.20 lakh,new-delhi
2016 Honda Jazz, 1.2L I-VTEC S,"51,301 km",Petrol,Manual,DL-4C,₹2.53 lakh,new-delhi
2019 Maruti Baleno, ALPHA PETROL 1.2,"43,777 km",Petrol,Manual,UP-16,₹4.97 lakh,new-delhi
2020 Tata Tiago, XE 1.2 REVOTRON,"83,130 km",CNG,Manual,HR-87,₹3.10 lakh,new-delhi
2022 Renault Kiger, RXT MT,"83,215 km",Petrol,Manual,HR-05,₹3.82 lakh,new-delhi
2015 Maruti Swift Dzire, VXI,"72,724 km",CNG,Manual,DL-8C,₹3.37 lakh,new-delhi
2020 KIA SELTOS, HTK PLUS 1.5,"98,426 km",Petrol,Manual,UP-16,₹6.47 lakh,new-delhi
2021 Jeep Compass, MODEL S (O) 2.0 DIESEL,"63,410 km",Diesel,Manual,HR-26,₹13.32 lakh,new-delhi
2019 Maruti Ertiga, ZXI SHVS,"30,528 km",Petrol,Manual,HR-26,₹6.95 lakh,new-delhi
2022 Tata NEXON, XM SUNROOF PETROL,"24,704 km",Petrol,Manual,UP-14,₹6.12 lakh,new-delhi
2021 KIA SELTOS, HTX ANNIVERSARY EDITION 1.5 DIESEL,"84,304 km",Diesel,Manual,DL-4C,₹9.60 lakh,new-delhi
2017 Hyundai Elite i20, ASTA 1.2,"74,204 km",Petrol,Manual,HR-26,₹3.71 lakh,new-delhi
2023 Hyundai NEW I20, ASTA (O) 1.2 AT,"9,132 km",Petrol,Auto,HR-98,₹7.78 lakh,new-delhi
2016 Renault Kwid, RXT 0.8,"28,622 km",Petrol,Manual,HR-26,₹1.75 lakh,new-delhi
2020 KIA SONET, HTK PLUS 1.0 IMT,"38,236 km",Petrol,Manual,UP-14,₹5.78 lakh,new-delhi
2014 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"70,601 km",Petrol,Manual,HR-51,₹1.86 lakh,new-delhi
2019 MG HECTOR, SHARP 1.5 DCT PETROL,"83,300 km",Petrol,Auto,HR-26,₹8.98 lakh,new-delhi
2019 MG HECTOR, SHARP 1.5 DCT PETROL,"52,204 km",Petrol,Auto,HR-26,₹8.44 lakh,new-delhi
2022 Honda Amaze, 1.2L I-VTEC E,"44,853 km",Petrol,Manual,HR-80,₹4.49 lakh,new-delhi
2020 Toyota URBAN CRUISER, PREMIUM GRADE AT,"44,653 km",Petrol,Auto,DL-10,₹6.38 lakh,new-delhi
2022 KIA SELTOS, HTK 1.5 DIESEL,"84,971 km",Diesel,Manual,HR-26,₹8.42 lakh,new-delhi
2022 MG HECTOR, SHARP 1.5 PETROL CVT,"20,213 km",Petrol,Auto,UP-14,₹11.61 lakh,new-delhi
2020 Mahindra XUV300, W4 1.2 PETROL,"76,769 km",Petrol,Manual,HR-50,₹4.61 lakh,new-delhi
2025 Skoda KUSHAQ, ACTIVE 1.0L TSI MT,"20,617 km",Petrol,Manual,UP-80,₹8.15 lakh,new-delhi
2019 MG HECTOR, SMART 2.0 DIESEL,"12,823 km",Diesel,Manual,UP-14,₹8.39 lakh,new-delhi
2023 MG HECTOR PLUS, SAVVY PRO 1.5 TURBO CVT 7 STR,"59,897 km",Petrol,Auto,UP-19,₹13.10 lakh,new-delhi
2022 MG ASTOR, SUPER 1.5 MT,"39,486 km",Petrol,Manual,HR-12,₹7.42 lakh,new-delhi
2023 Tata ALTROZ, XZ Plus Sunroof i-Turbo ,"23,015 km",Petrol,Manual,DL-12,₹7.48 lakh,new-delhi
2020 KIA SONET, HTK PLUS 1.0 DCT,"21,793 km",Petrol,Auto,HR-51,₹6.07 lakh,new-delhi
2019 Maruti Swift, VXI,"54,109 km",Petrol,Manual,HR-26,₹4.08 lakh,new-delhi
2021 KIA SONET, HTK 1.2,"84,963 km",Petrol,Manual,HR-26,₹5.69 lakh,new-delhi
2023 Hyundai ALCAZAR, PLATINUM 1.5 TURBO PETROL MT 7STR,"2,159 km",Petrol,Manual,HR-98,₹13.86 lakh,new-delhi
2019 Maruti Alto 800, LXI,"53,252 km",Petrol,Manual,HR-26,₹2.08 lakh,new-delhi
2022 Honda City, 1.5L I-VTEC VX CVT,"87,931 km",CNG,Auto,HR-30,₹8.70 lakh,new-delhi
2019 Jeep Compass, LIMITED 1.4 PETROL AT,"71,588 km",Petrol,Auto,HR-51,₹7.53 lakh,new-delhi
2022 Hyundai VENUE, SX 1.0 TURBO IMT,"78,527 km",Petrol,Manual,HR-30,₹6.14 lakh,new-delhi
2022 Tata Tiago, XZ PLUS CNG,"62,724 km",CNG,Manual,DL-9C,₹4.94 lakh,new-delhi
2022 Maruti New Wagon-R, VXI CNG 1.0,"77,022 km",CNG,Manual,DL-4C,₹4.32 lakh,new-delhi
2017 Honda City, 1.5L I-VTE V CVT,"28,323 km",Petrol,Auto,HR-51,₹4.81 lakh,new-delhi
2015 Maruti Swift, VXI,"28,712 km",Petrol,Manual,DL-12,₹3.19 lakh,new-delhi
2018 Honda City, 1.5L I-VTEC VX,"33,608 km",Petrol,Manual,HR-51,₹5.17 lakh,new-delhi
2021 Maruti Ertiga, VXI SHVS,"89,102 km",Petrol,Manual,HR-81,₹6.95 lakh,new-delhi
2019 Honda Amaze, 1.2L I-VTEC S,"49,103 km",Petrol,Manual,HR-29,₹3.94 lakh,new-delhi
2017 Honda Amaze, 1.2L I-VTEC S OPT,"69,522 km",Petrol,Manual,UP-14,₹2.85 lakh,new-delhi
2016 Maruti Alto 800, LXI,"32,405 km",Petrol,Manual,DL-3C,₹1.62 lakh,new-delhi
2014 Honda Amaze, 1.2L I-VTEC S,"91,353 km",Petrol,Manual,DL-3C,₹1.66 lakh,new-delhi
2019 Maruti Vitara Brezza, ZDI PLUS DUAL TONE,"24,951 km",Diesel,Manual,UP-81,₹5.99 lakh,new-delhi
2023 KIA SELTOS,  HTX IVT G,"45,402 km",Petrol,Auto,HR-98,₹10.85 lakh,new-delhi
2021 Renault Kiger, RXL 1.0 TURBO MT,"38,927 km",Petrol,Manual,HR-19,₹3.95 lakh,new-delhi
2022 Maruti Alto, LXI O,"65,263 km",Petrol,Manual,HR-72,₹2.60 lakh,new-delhi
2022 Tata NEXON, XZA PLUS PETROL DARK EDITION,"41,875 km",CNG,Auto,UP-15,₹7.70 lakh,new-delhi
2020 Tata Tiago, XZ PLUS PETROL,"27,458 km",Petrol,Manual,UP-80,₹3.80 lakh,new-delhi
2022 Tata NEXON, XM SUNROOF PETROL,"59,477 km",Petrol,Manual,HR-87,₹4.75 lakh,new-delhi
2014 Maruti Celerio, VXI,"92,764 km",Petrol,Manual,HR-51,₹1.50 lakh,new-delhi
2024 Toyota Urban Cruiser Taisor, V 1.0 Petrol MT,"18,391 km",Petrol,Manual,HR-12,₹8.49 lakh,new-delhi
2019 KIA SELTOS, GTX PLUS DCT 1.4 PETROL,"99,688 km",Petrol,Auto,HR-26,₹8.37 lakh,new-delhi
2019 Honda Amaze, 1.2L I-VTEC VX CVT,"71,924 km",Petrol,Auto,HR-26,₹4.80 lakh,new-delhi
2021 Tata Safari, XT PLUS,"64,038 km",Diesel,Manual,CH-01,₹12.50 lakh,new-delhi
2022 Maruti IGNIS, DELTA 1.2,"68,889 km",Petrol,Manual,HR-12,₹3.83 lakh,new-delhi
2015 Honda Amaze, 1.2L I-VTEC SX,"30,981 km",Petrol,Manual,UP-14,₹2.60 lakh,new-delhi
2020 MG HECTOR, SHARP 1.5 DCT PETROL,"66,365 km",Petrol,Auto,HR-26,₹8.43 lakh,new-delhi
2024 Tata NEXON, Pure S 1.2 iCNG,"27,432 km",CNG,Manual,HR-72,₹8.60 lakh,new-delhi
2020 Hyundai VENUE, SX PLUS 1.0 TURBO DCT,"41,415 km",Petrol,Auto,HR-26,₹6.78 lakh,new-delhi
2021 Tata TIGOR, XM PETROL,"37,084 km",Petrol,Manual,UP-16,₹3.75 lakh,new-delhi
2021 Tata ALTROZ, XZ DIESEL,"73,822 km",Diesel,Manual,UP-14,₹6.80 lakh,new-delhi
2018 Hyundai Elite i20, ASTA 1.2 (O),"47,145 km",Petrol,Manual,DL-9C,₹4.19 lakh,new-delhi
2015 Toyota Corolla Altis, VL CVT PETROL,"81,290 km",Petrol,Auto,HR-29,₹5.08 lakh,new-delhi
2019 Ford Ecosport, TITANIUM 1.5L PETROL,"28,638 km",Petrol,Manual,DL-1C,₹5.00 lakh,new-delhi
2018 Tata Tiago, XT PETROL,"54,187 km",Petrol,Manual,HR-29,₹2.69 lakh,new-delhi
2020 Tata Tiago, XZ PLUS PETROL,"41,031 km",Petrol,Manual,HR-12,₹3.61 lakh,new-delhi
2023 Honda Amaze, 1.2L I-VTEC VX,"26,246 km",CNG,Manual,HR-98,₹6.78 lakh,new-delhi
2019 Honda Amaze, 1.2L I-VTEC S,"40,920 km",Petrol,Manual,UP-80,₹3.82 lakh,new-delhi
2017 Maruti Alto K10, VXI,"66,405 km",Petrol,Manual,HR-26,₹2.13 lakh,new-delhi
2021 Nissan MAGNITE, XV TURBO CVT,"76,368 km",Petrol,Auto,HR-98,₹5.10 lakh,new-delhi
2024 Hyundai VENUE N LINE, N8 1.0 TURBO DCT,"75,358 km",Petrol,Auto,UP-16,₹8.39 lakh,new-delhi
2022 Tata Harrier, XZA PLUS 2.0L KRYOTEC HALO EDITION,"75,663 km",Diesel,Auto,UP-16,₹14.51 lakh,new-delhi
2013 Maruti Wagon R 1.0, VXI,"98,532 km",Petrol,Manual,HR-26,₹1.34 lakh,new-delhi
2022 Skoda SLAVIA, STYLE 1.5L TSI MT,"41,251 km",Petrol,Manual,UP-85,₹10.29 lakh,new-delhi
2014 Hyundai i20, SPORTZ 1.2,"51,112 km",Petrol,Manual,HR-26,₹2.55 lakh,new-delhi
2021 Honda City, 1.5L I-VTEC V MT 4TH GEN,"49,297 km",Petrol,Manual,UP-16,₹6.78 lakh,new-delhi
2020 Honda WR-V, 1.2L I-VTEC VX MT,"60,453 km",Petrol,Manual,HR-12,₹5.50 lakh,new-delhi
